Num,Name,City,City2,City3,City4,Bunnum,Roadadd,X,Y
21681,노블레스클럽,서울특별시,서초구,서초동,,1588-1,반포대로14길,127.0138655,37.48594136
21682,에스지코리아,인천광역시,중구,운북동,,56-18,백운로,126.5285623,37.50521567
21683,해오름야영장,울산광역시,울주군,서생면,나사리,Oct-96,해맞이로,129.3450178,35.35815544
21684,인터마케팅,제주특별자치도,제주시,일도이동,,392-10,고마로,126.5412434,33.50457914
21685,한찬코리아,경상남도,창원시 의창구,서상동,,351-5,천주로1번길,128.6173119,35.26285371
21687,종이비행기,충청남도,홍성군,홍성읍,오관리,355-1,충절로1039번길,126.6674667,36.59838113
21688,우노컴패니,서울특별시,마포구,서교동,,395-85,잔다리로,126.9189653,37.55173877
21689,하나씨에스,서울특별시,용산구,문배동,,11월 10일,백범로90길,126.9688331,37.53774646
21690,꼬레보야지,서울특별시,마포구,서교동,,351-10,동교로,126.9200815,37.55521002
21691,대양티앤씨,경기도,용인시 기흥구,마북동,,524-13,용구대로,127.1072842,37.30030411
21692,제이제이코,경기도,수원시 영통구,이의동,,1338,도청로,127.0559685,37.28572551
21693,랜드스마일,서울특별시,종로구,신문로1가,,163,새문안로,126.9749079,37.56969958
21694,한국자유행,서울특별시,마포구,도화동,,36,마포대로,126.9476629,37.54033834
21695,비에프앤씨,서울특별시,구로구,구로동,,182-13,디지털로,126.8973364,37.48592314
21696,유로파트너,서울특별시,마포구,공덕동,,404,마포대로,126.9521412,37.54619453
21697,더좋은제주,제주특별자치도,제주시,이도이동,,1168-10,동광로,126.5340844,33.50270627
21698,드리미너스,서울특별시,마포구,도화동,,559,마포대로,126.9470541,37.54143216
21700,글로벌에듀,대전광역시,유성구,궁동,,220,대학로,127.3471351,36.37528923
21701,리안트레블,서울특별시,은평구,불광동,,248,통일로,126.927218,37.61426312
21702,소나무국제,서울특별시,중구,소공동,,81,남대문로7길,126.980017,37.56379584
21703,트레블시티,경상남도,창원시 성산구,대원동,,121,원이대로,128.6532428,35.24031453
21704,디데이트립,서울특별시,강남구,역삼동,,809,강남대로,127.0253138,37.50370224
21705,세종라이프,대전광역시,동구,용전동,,Jan-43,계족로,127.4331267,36.35724459
21706,대원글로벌,서울특별시,금천구,가산동,,543-1,서부샛길,126.8765153,37.4793558
21708,캠프수풀이,경기도,가평군,상면,임초리,608,임초밤안골로,127.366211,37.75112039
21710,플레이평창,강원특별자치도,평창군,봉평면,창동리,286-10,기풍로,128.3784592,37.61554927
21711,액티비즈,서울특별시,구로구,구로동,,222-3,디지털로26길,126.897046,37.48258277
21712,빨간바지,경상남도,진주시,대안동,,11월 01일,진양호로547번길,128.0849405,35.19366963
21714,에코밸리,인천광역시,남동구,만수동,,904-21,백범로247번길,126.7218518,37.45852452
21715,에코밸리,경기도,시흥시,대야동,,451-16,호현로,126.7881469,37.44783823
21716,강촌밸리,강원특별자치도,춘천시,남산면,방곡리,산64,강촌로,127.6416628,37.80665073
21717,케이써브,경기도,수원시 장안구,파장동,,572-30,파장로82번길,126.9919904,37.30725676
21718,지마이스,서울특별시,마포구,서교동,,467-3,잔다리로,126.9153653,37.5551143
21719,노랑풍선,인천광역시,남동구,간석동,,901,구월로,126.6948054,37.4572243
21721,굿초이스,서울특별시,구로구,구로동,,03월 27일,새말로18길,126.8926074,37.50560559
21722,시에스코,인천광역시,남동구,논현동,,649-4,논고개로,126.7248197,37.39951217
21723,필드재팬,서울특별시,마포구,상암동,,1602,월드컵북로,126.8898935,37.58045107
21724,달달트립,경상남도,함안군,가야읍,말산리,192-6,본동길,128.4069401,35.27391509
21725,중이국제,서울특별시,영등포구,당산동4가,,Jan-48,당산로37길,126.8979063,37.52941252
21726,트레이지,서울특별시,마포구,신공덕동,,06월 06일,만리재옛길,126.9562995,37.54709086
21727,NM트립,서울특별시,중랑구,신내동,,646,신내로,127.0926682,37.61634963
21728,그림형제,부산광역시,해운대구,우동,,1434,마린시티3로,129.1475483,35.15785994
21729,에어라오,서울특별시,마포구,상암동,,1622,성암로,126.8978978,37.5767543
21730,우주세상,경기도,광주시,장지동,,May-50,장지3길,127.2432833,37.39538296
21731,답사친구,울산광역시,울주군,범서읍,천상리,643-5,천상1길,129.2295051,35.56261267
21732,케이닷,서울특별시,영등포구,양평동4가,,97,양평로19길,126.8948353,37.53696103
21733,지트립,인천광역시,남동구,구월동,,1407-10,문화서로4번길,126.6973072,37.44467586
21734,엔로벤,서울특별시,강서구,마곡동,,800-3,공항대로,126.8317656,37.5587038
21735,한지교,서울특별시,금천구,가산동,,660,가산디지털1로,126.8874958,37.46880408
21736,엠지티,서울특별시,영등포구,여의도동,,03월 18일,국회대로62길,126.9164756,37.52670379
21737,더비자,서울특별시,중구,다동,,88,남대문로,126.9823058,37.56778372
21738,프로벤,경기도,김포시,운양동,,1296-7,김포한강11로,126.6847312,37.6548249
21739,달샘,경상남도,김해시,내동,,1075-2,금관대로1354번길,128.8664269,35.24297486
21740,동해,제주특별자치도,제주시,노형동,,711-3,연북로,126.4826844,33.48169622
21741,위드티앤씨,인천광역시,남동구,논현동,,631-8,청능대로,126.723589,37.40127671
21742,바다풍경카라반,충청남도,태안군,원북면,방갈리,515-5,학암포길,126.2067724,36.89871587
21743,에스앤티커뮤니케이션즈,서울특별시,서초구,잠원동,,05월 19일,나루터로,127.01767,37.51530356
21744,메쎄플러스,서울특별시,마포구,공덕동,,404,마포대로,126.9521412,37.54619453
21745,클럽다모아,서울특별시,중구,다동,,97,을지로3길,126.9815421,37.56760569
21746,한강마케팅,서울특별시,용산구,남영동,,Jan-59,한강대로84길,126.9735405,37.54362524
21747,식스팩토리,광주광역시,광산구,쌍암동,,689-1,임방울대로825번길,126.8507887,35.22041873
21749,티티에스엔터프라이즈,서울특별시,마포구,대흥동,,12월 27일,신촌로,126.9443709,37.55634977
21750,글로벌비지니스컨설팅,서울특별시,금천구,가산동,,371-37,가산디지털1로,126.8836951,37.47723653
21751,팍스아이앤디,경기도,시흥시,장현동,,548-3,시청로68번길,126.8023708,37.38204583
21752,위드트립,서울특별시,서대문구,합동,,117,서소문로,126.965597,37.56078702
21753,마이서울트립,서울특별시,금천구,가산동,,426-5,가산디지털2로,126.8787102,37.47872668
21754,이얼싼,서울특별시,중구,소공동,,28,남대문로7길,126.9812495,37.56368931
21755,우즈벡에어에이전시,서울특별시,종로구,신문로1가,,116,새문안로,126.9739315,37.56979474
21756,제주스타렌탈,서울특별시,금천구,가산동,,Mar-60,디지털로9길,126.8864183,37.48107579
21757,글로벌네트웍,서울특별시,종로구,수송동,,58,삼봉로,126.9815029,37.57252957
21758,세성항운,서울특별시,중구,소공동,,50,소공로,126.98044,37.56336154
21759,한누리인터내셔널,서울특별시,강남구,신사동,,588-19,도산대로,127.0308961,37.52100473
21760,굿필링인터네셔널,서울특별시,마포구,서교동,,375-37,월드컵북로1길,126.9191884,37.55427914
21761,에스비에스플러스,서울특별시,마포구,상암동,,1607-1,상암산로,126.8927739,37.57971591
21762,호반캠핑장,강원특별자치도,춘천시,신동,,970-1,영서로,127.7177194,37.93420801
21763,트레비아,서울특별시,마포구,도화동,,Jan-51,마포대로,126.9468947,37.54086888
